"You will be redirected to Leetchi.com in order to conduct your payment.","You will be redirected to Leetchi.com in order to conduct your payment."
"Order details.","Order details."
"Your order has been cancelled.","Your order has been cancelled."
"You will receive an order cancellation email with details of your order.","You will receive an order cancellation email with details of your order."
