"You will be redirected to Leetchi.com in order to conduct your payment.","Sie werden in Kürze zum Bezahlen auf Leetchi.com weitergeleitet."
"Order details.","Details Ihrer Bestellung."
"Your order has been cancelled.","Ihre Bestellung wurde storniert."
"You will receive an order cancellation email with details of your order.","Sie erhalten eine Bestätigung der Stornierung per Email."
